method,n_factors,fraction,precision_at_k,recall_at_k,n_users_evaluated
SVD_f20,20,25,0.0037998495109104594,0.03799849510910459,2658
SVD_f20,20,50,0.0034650455927051674,0.034650455927051675,3290
SVD_f20,20,75,0.0027405081358835284,0.027405081358835286,3503
SVD_f50,50,25,0.004401805869074492,0.04401805869074492,2658
SVD_f50,50,50,0.0035866261398176296,0.035866261398176294,3290
SVD_f50,50,75,0.003140165572366543,0.03140165572366543,3503
SVD_f100,100,25,0.005304740406320542,0.05304740406320542,2658
SVD_f100,100,50,0.004133738601823709,0.04133738601823708,3290
SVD_f100,100,75,0.0035969169283471313,0.03596916928347131,3503
