method,k_neighbors,fraction,rmse,mae,emissions_kg,train_size,precision_at_k,recall_at_k
ItemKNN_k20,20,25,1.1006446699583696,0.858980755966111,0.0001274175161054,723075,0.0056433408577878106,0.056433408577878104
ItemKNN_k20,20,50,1.0239319920282286,0.7967297729210919,0.0002386355071039,923889,0.003981762917933131,0.03981762917933131
ItemKNN_k20,20,75,0.97872017291753,0.7614306561943993,0.0003002211483099,988678,0.004110762203825293,0.041107622038252925
ItemKNN_k30,30,25,1.1121999059867174,0.8739123069265489,0.0001246661713679,723075,0.0061700526711813385,0.06170052671181339
ItemKNN_k30,30,50,1.0494482999852794,0.8223022298664898,0.0002469821642478,923889,0.003404255319148937,0.03404255319148936
ItemKNN_k30,30,75,1.0104287644885035,0.7910933488534485,0.0002990221775205,988678,0.002940336854125036,0.029403368541250356
ItemKNN_k40,40,25,1.1187852763652908,0.8814568076358577,0.0001335179621269,723075,0.00598194130925508,0.05981941309255079
ItemKNN_k40,40,50,1.0610694587506029,0.8348419525275251,0.000236864841193,923889,0.003130699088145897,0.03130699088145897
ItemKNN_k40,40,75,1.028392222212733,0.8089565321627782,0.0003012406840408,988678,0.0028261490151298887,0.028261490151298887
