method,rmse,mae,emissions_kg,efficiency_score
SVD_f20,0.9128554820674672,0.7156331077015315,3.491906032628789e-05,0.0318760556474965
random,0.928908685623506,0.7343835378335349,3.585888897329716e-05,0.033309633424104694
SVD_f50,0.8638247565811256,0.6731840612906375,4.567264318803448e-05,0.039453159884320486
informed_users,0.8622484589119079,0.6770473935436784,5.864804034209096e-05,0.05056918240317134
informed_items,0.86527110305157,0.6779742145658909,6.125395894374858e-05,0.05300128062153291
SVD_f100,0.8057101988576765,0.6220947808525857,7.41182947242922e-05,0.05971786598130134
ItemKNN_k20,1.0344322783013762,0.8057137283605341,0.0002220913905064,0.229738503072656
ItemKNN_k30,1.0573589901535,0.8291026285488291,0.00022355683771206665,0.2363798321651407
ItemKNN_k40,1.0694156524428757,0.8417517641087203,0.00022387449578690002,0.2394148899772675
NCF_emb20,1.4311447294282333,1.0683399453364462,0.0011218326353309,1.6055048633544027
NCF_emb50,1.3666368577056371,0.9589003937288083,0.001339129770228025,1.8301041012444998
NCF_emb100,1.3598509802369636,0.8919136064312118,0.0016648112739020501,2.2638952427252512
