method,k_neighbors,fraction,precision_at_k,recall_at_k,n_users_evaluated
ItemKNN_k20,20,25,0.0056433408577878106,0.056433408577878104,2658
ItemKNN_k20,20,50,0.003981762917933131,0.03981762917933131,3290
ItemKNN_k20,20,75,0.004110762203825293,0.041107622038252925,3503
ItemKNN_k30,30,25,0.0061700526711813385,0.06170052671181339,2658
ItemKNN_k30,30,50,0.003404255319148937,0.03404255319148936,3290
ItemKNN_k30,30,75,0.002940336854125036,0.029403368541250356,3503
ItemKNN_k40,40,25,0.00598194130925508,0.05981941309255079,2658
ItemKNN_k40,40,50,0.003130699088145897,0.03130699088145897,3290
ItemKNN_k40,40,75,0.0028261490151298887,0.028261490151298887,3503
