method,n_factors,fraction,rmse,mae,emissions_kg,n_params,train_size,n_users,n_items
SVD_f20,20,25,0.9991649963033291,0.7761043726129204,2.1123591448805843e-05,146287,723075,6040,926
SVD_f20,20,50,0.8892069276160232,0.6979523194145651,3.6774428427069575e-05,165754,923889,6040,1853
SVD_f20,20,75,0.8501945222830491,0.6728426310771091,4.6859161102988256e-05,185200,988678,6040,2779
SVD_f50,50,25,0.9656910884907988,0.7426327606836656,3.043012182092849e-05,355267,723075,6040,926
SVD_f50,50,50,0.8360382471621293,0.6538305360550817,4.256359574132571e-05,402544,923889,6040,1853
SVD_f50,50,75,0.789744934090449,0.6230888871331651,6.402421200184926e-05,449770,988678,6040,2779
SVD_f100,100,25,0.9261343422949176,0.7010780993898539,6.44900677050064e-05,703567,723075,6040,926
SVD_f100,100,50,0.7753790605571761,0.6000254603466152,7.798585012090475e-05,797194,923889,6040,1853
SVD_f100,100,75,0.7156171937209358,0.5651807828212879,7.987896634696544e-05,890720,988678,6040,2779
