method,k_neighbors,fraction,rmse,mae,emissions_kg,train_size
ItemKNN_k20,20,25,1.1006446699583696,0.858980755966111,0.00012741751610547902,723075
ItemKNN_k20,20,50,1.0239319920282286,0.7967297729210919,0.0002386355071039124,923889
ItemKNN_k20,20,75,0.9787201729175301,0.7614306561943993,0.0003002211483099955,988678
ItemKNN_k30,30,25,1.1121999059867174,0.8739123069265489,0.0001246661713679449,723075
ItemKNN_k30,30,50,1.0494482999852794,0.8223022298664898,0.00024698216424789326,923889
ItemKNN_k30,30,75,1.0104287644885037,0.7910933488534485,0.000299022177520541,988678
ItemKNN_k40,40,25,1.1187852763652908,0.8814568076358577,0.0001335179621269522,723075
ItemKNN_k40,40,50,1.0610694587506027,0.8348419525275251,0.0002368648411930508,923889
ItemKNN_k40,40,75,1.028392222212733,0.8089565321627782,0.00030124068404088994,988678
