K,HitRate,Recall,NDCG
5,0.02019867549668874,0.02019867549668874,0.012680266034377517
10,0.03642384105960265,0.03642384105960265,0.017862854911901226
20,0.06837748344370861,0.06837748344370861,0.025859757206452
50,0.13956953642384107,0.13956953642384107,0.0399364122326375
