K,HitRate,Recall,NDCG
5,0.0008278145695364238,0.0008278145695364238,0.0004197955499357613
10,0.0041390728476821195,0.0041390728476821195,0.001465795748223233
20,0.012086092715231788,0.012086092715231788,0.003436111923738936
50,0.034602649006622514,0.034602649006622514,0.007846971841093757
