K,HitRate,Recall,NDCG
5,0.0,0.0,0.0
10,0.0004966887417218543,0.0004966887417218543,0.00014555623316221144
20,0.011258278145695364,0.011258278145695364,0.0027919743425931106
50,0.03162251655629139,0.03162251655629139,0.006760996795984648
